username,repo_name,repo_url,stars
mrdoob,three.js,https://github.com/mrdoob/three.js,86800
libgdx,libgdx,https://github.com/libgdx/libgdx,20700
pmndrs,react-three-fiber,https://github.com/pmndrs/react-three-fiber,20300
BabylonJS,Babylon.js,https://github.com/BabylonJS/Babylon.js,18800
ssloy,tinyrenderer,https://github.com/ssloy/tinyrenderer,15200
aframevr,aframe,https://github.com/aframevr/aframe,14700
lettier,3d-game-shaders-for-beginners,https://github.com/lettier/3d-game-shaders-for-beginners,14000
FreeCAD,FreeCAD,https://github.com/FreeCAD/FreeCAD,12600
CesiumGS,cesium,https://github.com/CesiumGS/cesium,9500
metafizzy,zdog,https://github.com/metafizzy/zdog,9500
timzhang642,3D-Machine-Learning,https://github.com/timzhang642/3D-Machine-Learning,8500
isl-org,Open3D,https://github.com/isl-org/Open3D,7700
a1studmuffin,SpaceshipGenerator,https://github.com/a1studmuffin/SpaceshipGenerator,7200
blender,blender,https://github.com/blender/blender,7000
domlysz,BlenderGIS,https://github.com/domlysz/BlenderGIS,5800
FyroxEngine,Fyrox,https://github.com/FyroxEngine/Fyrox,5200
openscad,openscad,https://github.com/openscad/openscad,5100
spritejs,spritejs,https://github.com/spritejs/spritejs,5000
google,model-viewer,https://github.com/google/model-viewer,5000
jagenjo,webglstudio.js,https://github.com/jagenjo/webglstudio.js,4800
