username,repo_name,repo_url,stars
public-apis,public-apis,https://github.com/public-apis/public-apis,216000
neovim,neovim,https://github.com/neovim/neovim,59600
tiangolo,fastapi,https://github.com/tiangolo/fastapi,51500
strapi,strapi,https://github.com/strapi/strapi,49500
hoppscotch,hoppscotch,https://github.com/hoppscotch/hoppscotch,48200
ocornut,imgui,https://github.com/ocornut/imgui,43100
slatedocs,slate,https://github.com/slatedocs/slate,34700
meilisearch,meilisearch,https://github.com/meilisearch/meilisearch,30800
hasura,graphql-engine,https://github.com/hasura/graphql-engine,28600
ccxt,ccxt,https://github.com/ccxt/ccxt,26400
Binaryify,NeteaseCloudMusicApi,https://github.com/Binaryify/NeteaseCloudMusicApi,26100
YMFE,yapi,https://github.com/YMFE/yapi,25300
Kong,insomnia,https://github.com/Kong/insomnia,24700
httpie,httpie,https://github.com/httpie/httpie,24700
encode,django-rest-framework,https://github.com/encode/django-rest-framework,24500
littlecodersh,ItChat,https://github.com/littlecodersh/ItChat,22600
paularmstrong,normalizr,https://github.com/paularmstrong/normalizr,21000
FallibleInc,security-guide-for-developers,https://github.com/FallibleInc/security-guide-for-developers,20500
microsoft,api-guidelines,https://github.com/microsoft/api-guidelines,20200
shieldfy,API-Security-Checklist,https://github.com/shieldfy/API-Security-Checklist,19100
