username,repo_name,repo_url,stars
dotnet,AspNetCore.Docs,https://github.com/dotnet/AspNetCore.Docs,11100
bitwarden,server,https://github.com/bitwarden/server,10900
aspnetboilerplate,aspnetboilerplate,https://github.com/aspnetboilerplate/aspnetboilerplate,10700
abpframework,abp,https://github.com/abpframework/abp,8900
nopSolutions,nopCommerce,https://github.com/nopSolutions/nopCommerce,7700
ElectronNET,Electron.NET,https://github.com/ElectronNET/Electron.NET,6500
thangchung,clean-code-dotnet,https://github.com/thangchung/clean-code-dotnet,5600
RicoSuter,NSwag,https://github.com/RicoSuter/NSwag,5500
smartstore,SmartStoreNET,https://github.com/smartstore/SmartStoreNET,2500
JimBobSquarePants,ImageProcessor,https://github.com/JimBobSquarePants/ImageProcessor,2500
dotnet,aspnet-api-versioning,https://github.com/dotnet/aspnet-api-versioning,2400
serenity-is,Serenity,https://github.com/serenity-is/Serenity,2300
loic-sharma,BaGet,https://github.com/loic-sharma/BaGet,2200
mjebrahimi,Awesome-Microservices-DotNet,https://github.com/mjebrahimi/Awesome-Microservices-DotNet,2000
TrilonIO,aspnetcore-angular-universal,https://github.com/TrilonIO/aspnetcore-angular-universal,1500
TrilonIO,aspnetcore-Vue-starter,https://github.com/TrilonIO/aspnetcore-Vue-starter,1200
MarimerLLC,csla,https://github.com/MarimerLLC/csla,1100
antonioCoco,SharPyShell,https://github.com/antonioCoco/SharPyShell,713
riganti,dotvvm,https://github.com/riganti/dotvvm,634
cornflourblue,aspnet-core-3-jwt-authentication-api,https://github.com/cornflourblue/aspnet-core-3-jwt-authentication-api,625
