username,repo_name,repo_url,stars
jwasham,coding-interview-university,https://github.com/jwasham/coding-interview-university,239000
CyC2018,CS-Notes,https://github.com/CyC2018/CS-Notes,159000
trekhleb,javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,155000
TheAlgorithms,Python,https://github.com/TheAlgorithms/Python,148000
yangshun,tech-interview-handbook,https://github.com/yangshun/tech-interview-handbook,82000
kdn251,interviews,https://github.com/kdn251/interviews,58600
azl397985856,leetcode,https://github.com/azl397985856/leetcode,49800
TheAlgorithms,Java,https://github.com/TheAlgorithms/Java,48900
algorithm-visualizer,algorithm-visualizer,https://github.com/algorithm-visualizer/algorithm-visualizer,40500
youngyangyang04,leetcode-master,https://github.com/youngyangyang04/leetcode-master,33400
halfrost,LeetCode-Go,https://github.com/halfrost/LeetCode-Go,28200
crossoverJie,JCSprout,https://github.com/crossoverJie/JCSprout,26900
huihut,interview,https://github.com/huihut/interview,26600
donnemartin,interactive-coding-challenges,https://github.com/donnemartin/interactive-coding-challenges,26500
TheAlgorithms,JavaScript,https://github.com/TheAlgorithms/JavaScript,23700
TheAlgorithms,C-Plus-Plus,https://github.com/TheAlgorithms/C-Plus-Plus,22300
keon,algorithms,https://github.com/keon/algorithms,21800
trekhleb,homemade-machine-learning,https://github.com/trekhleb/homemade-machine-learning,20400
mxgmn,WaveFunctionCollapse,https://github.com/mxgmn/WaveFunctionCollapse,20200
AtsushiSakai,PythonRobotics,https://github.com/AtsushiSakai/PythonRobotics,16700
