username,repo_name,repo_url,stars
localstack,localstack,https://github.com/localstack/localstack,44800
serverless,serverless,https://github.com/serverless/serverless,43800
bregman-arie,devops-exercises,https://github.com/bregman-arie/devops-exercises,33500
donnemartin,data-science-ipython-notebooks,https://github.com/donnemartin/data-science-ipython-notebooks,24200
pulumi,pulumi,https://github.com/pulumi/pulumi,14200
ramitsurana,awesome-kubernetes,https://github.com/ramitsurana/awesome-kubernetes,13200
kubernetes-sigs,kubespray,https://github.com/kubernetes-sigs/kubespray,13100
aws,aws-cli,https://github.com/aws/aws-cli,13100
mozilla,sops,https://github.com/mozilla/sops,11300
donnemartin,awesome-aws,https://github.com/donnemartin/awesome-aws,10900
apereo,cas,https://github.com/apereo/cas,9800
serverless-stack,sst,https://github.com/serverless-stack/sst,9700
caprover,caprover,https://github.com/caprover/caprover,9500
aws,aws-cdk,https://github.com/aws/aws-cdk,9500
aws,chalice,https://github.com/aws/chalice,9300
aws-amplify,amplify-js,https://github.com/aws-amplify/amplify-js,9000
GoogleCloudPlatform,terraformer,https://github.com/GoogleCloudPlatform/terraformer,9000
angristan,openvpn-install,https://github.com/angristan/openvpn-install,9000
aws,serverless-application-model,https://github.com/aws/serverless-application-model,8800
google,go-cloud,https://github.com/google/go-cloud,8700
