username,repo_name,repo_url,stars
amphp,amp,https://github.com/amphp/amp,3800
danog,MadelineProto,https://github.com/danog/MadelineProto,2100
amphp,http-server,https://github.com/amphp/http-server,1200
unreal4u,telegram-api,https://github.com/unreal4u/telegram-api,740
amphp,http-client,https://github.com/amphp/http-client,633
amphp,parallel,https://github.com/amphp/parallel,606
php-service-bus,service-bus,https://github.com/php-service-bus/service-bus,333
amphp,byte-stream,https://github.com/amphp/byte-stream,309
amphp,mysql,https://github.com/amphp/mysql,290
amphp,parallel-functions,https://github.com/amphp/parallel-functions,234
amphp,process,https://github.com/amphp/process,192
amphp,socket,https://github.com/amphp/socket,170
amphp,redis,https://github.com/amphp/redis,132
amphp,dns,https://github.com/amphp/dns,125
amphp,sync,https://github.com/amphp/sync,120
kelunik,acme,https://github.com/kelunik/acme,116
amphp,websocket-client,https://github.com/amphp/websocket-client,108
PeeHaa,mailgrab,https://github.com/PeeHaa/mailgrab,91
amphp,websocket-server,https://github.com/amphp/websocket-server,86
amphp,serialization,https://github.com/amphp/serialization,85
