username,repo_name,repo_url,stars
flutter,flutter,https://github.com/flutter/flutter,146000
justjavac,free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,96900
Genymobile,scrcpy,https://github.com/Genymobile/scrcpy,72900
Hack-with-Github,Awesome-Hacking,https://github.com/Hack-with-Github/Awesome-Hacking,58100
google,material-design-icons,https://github.com/google/material-design-icons,46800
wasabeef,awesome-android-ui,https://github.com/wasabeef/awesome-android-ui,44500
Solido,awesome-flutter,https://github.com/Solido/awesome-flutter,43900
square,okhttp,https://github.com/square/okhttp,43100
android,architecture-samples,https://github.com/android/architecture-samples,41800
square,retrofit,https://github.com/square/retrofit,40800
dcloudio,uni-app,https://github.com/dcloudio/uni-app,37400
fastlane,fastlane,https://github.com/fastlane/fastlane,36000
PhilJay,MPAndroidChart,https://github.com/PhilJay/MPAndroidChart,35800
airbnb,lottie-android,https://github.com/airbnb/lottie-android,33400
bumptech,glide,https://github.com/bumptech/glide,33100
shadowsocks,shadowsocks-android,https://github.com/shadowsocks/shadowsocks-android,33100
laurent22,joplin,https://github.com/laurent22/joplin,32900
skylot,jadx,https://github.com/skylot/jadx,32200
Blankj,AndroidUtilCode,https://github.com/Blankj/AndroidUtilCode,31600
xitu,gold-miner,https://github.com/xitu/gold-miner,31500
