username,repo_name,repo_url,stars
justjavac,free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,96900
angular,angular,https://github.com/angular/angular,84800
storybookjs,storybook,https://github.com/storybookjs/storybook,75100
leonardomso,33-js-concepts,https://github.com/leonardomso/33-js-concepts,53000
ionic-team,ionic-framework,https://github.com/ionic-team/ionic-framework,48200
prettier,prettier,https://github.com/prettier/prettier,44200
SheetJS,sheetjs,https://github.com/SheetJS/sheetjs,31600
Asabeneh,30-Days-Of-JavaScript,https://github.com/Asabeneh/30-Days-Of-JavaScript,29600
angular,angular-cli,https://github.com/angular/angular-cli,25700
angular,components,https://github.com/angular/components,23100
NativeScript,NativeScript,https://github.com/NativeScript/NativeScript,21800
jhipster,generator-jhipster,https://github.com/jhipster/generator-jhipster,20100
goldbergyoni,javascript-testing-best-practices,https://github.com/goldbergyoni/javascript-testing-best-practices,19300
pubkey,rxdb,https://github.com/pubkey/rxdb,18400
handsontable,handsontable,https://github.com/handsontable/handsontable,17200
teambit,bit,https://github.com/teambit/bit,16000
nrwl,nx,https://github.com/nrwl/nx,15300
sweetalert2,sweetalert2,https://github.com/sweetalert2/sweetalert2,15200
wailsapp,wails,https://github.com/wailsapp/wails,12800
sudheerj,javascript-interview-questions,https://github.com/sudheerj/javascript-interview-questions,12700
