username,repo_name,repo_url,stars
ansible,ansible,https://github.com/ansible/ansible,55400
bregman-arie,devops-exercises,https://github.com/bregman-arie/devops-exercises,33500
trailofbits,algo,https://github.com/trailofbits/algo,26400
StreisandEffect,streisand,https://github.com/StreisandEffect/streisand,22900
MichaelCade,90DaysOfDevOps,https://github.com/MichaelCade/90DaysOfDevOps,19600
kubernetes-sigs,kubespray,https://github.com/kubernetes-sigs/kubespray,13100
ansible,awx,https://github.com/ansible/awx,11600
easzlab,kubeasz,https://github.com/easzlab/kubeasz,8600
geerlingguy,ansible-for-devops,https://github.com/geerlingguy/ansible-for-devops,6400
khuedoan,homelab,https://github.com/khuedoan/homelab,6300
Tikam02,DevOps-Guide,https://github.com/Tikam02/DevOps-Guide,5400
ansible-semaphore,semaphore,https://github.com/ansible-semaphore/semaphore,5400
geerlingguy,mac-dev-playbook,https://github.com/geerlingguy/mac-dev-playbook,5000
rundeck,rundeck,https://github.com/rundeck/rundeck,4700
KubeOperator,KubeOperator,https://github.com/KubeOperator/KubeOperator,4500
clong,DetectionLab,https://github.com/clong/DetectionLab,4000
netbootxyz,netboot.xyz,https://github.com/netbootxyz/netboot.xyz,3700
ansible-community,molecule,https://github.com/ansible-community/molecule,3500
litmuschaos,litmus,https://github.com/litmuschaos/litmus,3400
opendevops-cn,opendevops,https://github.com/opendevops-cn/opendevops,3300
