username,repo_name,repo_url,stars
sindresorhus,awesome,https://github.com/sindresorhus/awesome,225000
vinta,awesome-python,https://github.com/vinta/awesome-python,147000
awesome-selfhosted,awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,108000
avelino,awesome-go,https://github.com/avelino/awesome-go,90700
trimstray,the-book-of-secret-knowledge,https://github.com/trimstray/the-book-of-secret-knowledge,82200
papers-we-love,papers-we-love,https://github.com/papers-we-love/papers-we-love,65700
521xueweihan,HelloGitHub,https://github.com/521xueweihan/HelloGitHub,61400
Hack-with-Github,Awesome-Hacking,https://github.com/Hack-with-Github/Awesome-Hacking,58100
jaywcjlove,awesome-mac,https://github.com/jaywcjlove/awesome-mac,55100
DopplerHQ,awesome-interview-questions,https://github.com/DopplerHQ/awesome-interview-questions,51300
sindresorhus,awesome-nodejs,https://github.com/sindresorhus/awesome-nodejs,47900
MunGell,awesome-for-beginners,https://github.com/MunGell/awesome-for-beginners,45600
wasabeef,awesome-android-ui,https://github.com/wasabeef/awesome-android-ui,44500
Solido,awesome-flutter,https://github.com/Solido/awesome-flutter,43900
prakhar1989,awesome-courses,https://github.com/prakhar1989/awesome-courses,43800
binhnguyennus,awesome-scalability,https://github.com/binhnguyennus/awesome-scalability,41800
fffaraz,awesome-cpp,https://github.com/fffaraz/awesome-cpp,41700
vsouza,awesome-ios,https://github.com/vsouza/awesome-ios,41100
tiimgreen,github-cheat-sheet,https://github.com/tiimgreen/github-cheat-sheet,37800
dypsilon,frontend-dev-bookmarks,https://github.com/dypsilon/frontend-dev-bookmarks,35800
