username,repo_name,repo_url,stars
bregman-arie,devops-exercises,https://github.com/bregman-arie/devops-exercises,33500
microsoft,recommenders,https://github.com/microsoft/recommenders,14500
pulumi,pulumi,https://github.com/pulumi/pulumi,14200
ramitsurana,awesome-kubernetes,https://github.com/ramitsurana/awesome-kubernetes,13200
Azure,azure-quickstart-templates,https://github.com/Azure/azure-quickstart-templates,12300
mozilla,sops,https://github.com/mozilla/sops,11300
caprover,caprover,https://github.com/caprover/caprover,9500
microsoft,computervision-recipes,https://github.com/microsoft/computervision-recipes,8700
google,go-cloud,https://github.com/google/go-cloud,8700
infracost,infracost,https://github.com/infracost/infracost,8200
microsoft,azuredatastudio,https://github.com/microsoft/azuredatastudio,7000
node-formidable,formidable,https://github.com/node-formidable/formidable,6400
midwayjs,midway,https://github.com/midwayjs/midway,6200
thangchung,clean-code-dotnet,https://github.com/thangchung/clean-code-dotnet,5600
aquasecurity,tfsec,https://github.com/aquasecurity/tfsec,5300
budtmo,docker-android,https://github.com/budtmo/docker-android,5100
bridgecrewio,checkov,https://github.com/bridgecrewio/checkov,4900
nccgroup,ScoutSuite,https://github.com/nccgroup/ScoutSuite,4900
cloud-custodian,cloud-custodian,https://github.com/cloud-custodian/cloud-custodian,4500
Azure,azure-sdk-for-net,https://github.com/Azure/azure-sdk-for-net,4100
