username,repo_name,repo_url,stars
jlevy,the-art-of-command-line,https://github.com/jlevy/the-art-of-command-line,116000
nvm-sh,nvm,https://github.com/nvm-sh/nvm,62400
junegunn,fzf,https://github.com/junegunn/fzf,48200
google,zx,https://github.com/google/zx,35000
dylanaraps,pure-bash-bible,https://github.com/dylanaraps/pure-bash-bible,32500
LeCoupa,awesome-cheatsheets,https://github.com/LeCoupa/awesome-cheatsheets,31300
koalaman,shellcheck,https://github.com/koalaman/shellcheck,30500
starship,starship,https://github.com/starship/starship,30400
acmesh-official,acme.sh,https://github.com/acmesh-official/acme.sh,29200
mathiasbynens,dotfiles,https://github.com/mathiasbynens/dotfiles,28500
alebcay,awesome-shell,https://github.com/alebcay/awesome-shell,25500
jaywcjlove,linux-command,https://github.com/jaywcjlove/linux-command,21700
withfig,autocomplete,https://github.com/withfig/autocomplete,20600
dylanaraps,neofetch,https://github.com/dylanaraps/neofetch,16600
Nyr,openvpn-install,https://github.com/Nyr/openvpn-install,16100
rbenv,rbenv,https://github.com/rbenv/rbenv,14600
powerline,powerline,https://github.com/powerline/powerline,13600
shelljs,shelljs,https://github.com/shelljs/shelljs,13600
Bash-it,bash-it,https://github.com/Bash-it/bash-it,13300
faressoft,terminalizer,https://github.com/faressoft/terminalizer,13100
