username,repo_name,repo_url,stars
ccxt,ccxt,https://github.com/ccxt/ccxt,26400
discordjs,discord.js,https://github.com/discordjs/discord.js,21200
python-telegram-bot,python-telegram-bot,https://github.com/python-telegram-bot/python-telegram-bot,20100
hubotio,hubot,https://github.com/hubotio/hubot,16300
RasaHQ,rasa,https://github.com/RasaHQ/rasa,15100
InstaPy,InstaPy,https://github.com/InstaPy/InstaPy,14800
wechaty,wechaty,https://github.com/wechaty/wechaty,13700
gunthercox,ChatterBot,https://github.com/gunthercox/ChatterBot,12600
tgbot-collection,YYeTsBot,https://github.com/tgbot-collection/YYeTsBot,12100
Rapptz,discord.py,https://github.com/Rapptz/discord.py,11800
leon-ai,leon,https://github.com/leon-ai/leon,11400
howdyai,botkit,https://github.com/howdyai/botkit,10900
botpress,botpress,https://github.com/botpress/botpress,9900
sfyc23,EverydayWechat,https://github.com/sfyc23/EverydayWechat,9300
pedroslopez,whatsapp-web.js,https://github.com/pedroslopez/whatsapp-web.js,8100
microsoft,ailab,https://github.com/microsoft/ailab,7200
microsoft,botframework-sdk,https://github.com/microsoft/botframework-sdk,6900
EZFNDEV,EZFN-Lobbybot,https://github.com/EZFNDEV/EZFN-Lobbybot,6900
yagop,node-telegram-bot-api,https://github.com/yagop/node-telegram-bot-api,6600
Mrs4s,go-cqhttp,https://github.com/Mrs4s/go-cqhttp,6300
