username,repo_name,repo_url,stars
CyC2018,CS-Notes,https://github.com/CyC2018/CS-Notes,159000
practical-tutorials,project-based-learning,https://github.com/practical-tutorials/project-based-learning,80700
azl397985856,leetcode,https://github.com/azl397985856/leetcode,49800
fffaraz,awesome-cpp,https://github.com/fffaraz/awesome-cpp,41700
x64dbg,x64dbg,https://github.com/x64dbg/x64dbg,39400
youngyangyang04,leetcode-master,https://github.com/youngyangyang04/leetcode-master,33400
carbon-language,carbon-lang,https://github.com/carbon-language/carbon-lang,28600
huihut,interview,https://github.com/huihut/interview,26600
microsoft,calculator,https://github.com/microsoft/calculator,26200
CMU-Perceptual-Computing-Lab,openpose,https://github.com/CMU-Perceptual-Computing-Lab/openpose,25400
yuzu-emu,yuzu,https://github.com/yuzu-emu/yuzu,22500
TheAlgorithms,C-Plus-Plus,https://github.com/TheAlgorithms/C-Plus-Plus,22300
changkun,modern-cpp-tutorial,https://github.com/changkun/modern-cpp-tutorial,19200
ethereum,solidity,https://github.com/ethereum/solidity,18800
doocs,leetcode,https://github.com/doocs/leetcode,18100
microsoft,vcpkg,https://github.com/microsoft/vcpkg,17100
gabime,spdlog,https://github.com/gabime/spdlog,16100
dragonflydb,dragonfly,https://github.com/dragonflydb/dragonfly,16100
catchorg,Catch2,https://github.com/catchorg/Catch2,15800
ssloy,tinyrenderer,https://github.com/ssloy/tinyrenderer,15200
