username,repo_name,repo_url,stars
Genymobile,scrcpy,https://github.com/Genymobile/scrcpy,72900
neovim,neovim,https://github.com/neovim/neovim,59600
git,git,https://github.com/git/git,44200
obsproject,obs-studio,https://github.com/obsproject/obs-studio,42900
fffaraz,awesome-cpp,https://github.com/fffaraz/awesome-cpp,41700
serhii-londar,open-source-mac-os-apps,https://github.com/serhii-londar/open-source-mac-os-apps,33000
FFmpeg,FFmpeg,https://github.com/FFmpeg/FFmpeg,32700
vim,vim,https://github.com/vim/vim,28900
curl,curl,https://github.com/curl/curl,27400
huihut,interview,https://github.com/huihut/interview,26600
ggreer,the_silver_searcher,https://github.com/ggreer/the_silver_searcher,24300
pbatard,rufus,https://github.com/pbatard/rufus,20700
mpv-player,mpv,https://github.com/mpv-player/mpv,20600
ossrs,srs,https://github.com/ossrs/srs,19800
ruby,ruby,https://github.com/ruby/ruby,19700
google,flatbuffers,https://github.com/google/flatbuffers,19100
oracle,graal,https://github.com/oracle/graal,17800
radareorg,radare2,https://github.com/radareorg/radare2,17200
microsoft,vcpkg,https://github.com/microsoft/vcpkg,17100
kovidgoyal,kitty,https://github.com/kovidgoyal/kitty,16600
