username,repo_name,repo_url,stars
iamadamdev,bypass-paywalls-chrome,https://github.com/iamadamdev/bypass-paywalls-chrome,30400
jaywcjlove,linux-command,https://github.com/jaywcjlove/linux-command,21700
refined-github,refined-github,https://github.com/refined-github/refined-github,19300
darkreader,darkreader,https://github.com/darkreader/darkreader,15400
checkly,headless-recorder,https://github.com/checkly/headless-recorder,14600
unbug,codelf,https://github.com/unbug/codelf,13300
Anarios,return-youtube-dislike,https://github.com/Anarios/return-youtube-dislike,10400
crimx,ext-saladict,https://github.com/crimx/ext-saladict,10000
gildas-lormeau,SingleFile,https://github.com/gildas-lormeau/SingleFile,9500
listen1,listen1_chrome_extension,https://github.com/listen1/listen1_chrome_extension,9200
dailydotdev,daily,https://github.com/dailydotdev/daily,9100
appbaseio,dejavu,https://github.com/appbaseio/dejavu,8000
alyssaxuu,screenity,https://github.com/alyssaxuu/screenity,7700
Kenshin,simpread,https://github.com/Kenshin/simpread,6500
ajayyy,SponsorBlock,https://github.com/ajayyy/SponsorBlock,5900
AutomaApp,automa,https://github.com/AutomaApp/automa,5900
alyssaxuu,omni,https://github.com/alyssaxuu/omni,5700
dessant,buster,https://github.com/dessant/buster,5400
manojVivek,medium-unlimited,https://github.com/manojVivek/medium-unlimited,5000
webclipper,web-clipper,https://github.com/webclipper/web-clipper,4700
