username,repo_name,repo_url,stars
electron,electron,https://github.com/electron/electron,105000
puppeteer,puppeteer,https://github.com/puppeteer/puppeteer,80800
microsoft,playwright,https://github.com/microsoft/playwright,44400
FiloSottile,mkcert,https://github.com/FiloSottile/mkcert,38300
iamadamdev,bypass-paywalls-chrome,https://github.com/iamadamdev/bypass-paywalls-chrome,30400
ovity,octotree,https://github.com/ovity/octotree,22200
jaywcjlove,linux-command,https://github.com/jaywcjlove/linux-command,21700
segmentio,nightmare,https://github.com/segmentio/nightmare,19300
checkly,headless-recorder,https://github.com/checkly/headless-recorder,14600
google,WebFundamentals,https://github.com/google/WebFundamentals,13600
prisma-archive,chromeless,https://github.com/prisma-archive/chromeless,13200
casesandberg,react-color,https://github.com/casesandberg/react-color,11000
GoogleChrome,chrome-extensions-samples,https://github.com/GoogleChrome/chrome-extensions-samples,11000
crimx,ext-saladict,https://github.com/crimx/ext-saladict,10000
gildas-lormeau,SingleFile,https://github.com/gildas-lormeau/SingleFile,9500
MetaMask,metamask-extension,https://github.com/MetaMask/metamask-extension,9000
chromedp,chromedp,https://github.com/chromedp/chromedp,8300
uBlock-LLC,uBlock,https://github.com/uBlock-LLC/uBlock,8100
alvarcarto,url-to-pdf-api,https://github.com/alvarcarto/url-to-pdf-api,6700
moonD4rk,HackBrowserData,https://github.com/moonD4rk/HackBrowserData,6500
