username,repo_name,repo_url,stars
vercel,next.js,https://github.com/vercel/next.js,96300
rust-lang,rust,https://github.com/rust-lang/rust,74400
sveltejs,svelte,https://github.com/sveltejs/svelte,63200
webpack,webpack,https://github.com/webpack/webpack,62100
gatsbyjs,gatsby,https://github.com/gatsbyjs/gatsby,53800
JetBrains,kotlin,https://github.com/JetBrains/kotlin,43100
babel,babel,https://github.com/babel/babel,41600
parcel-bundler,parcel,https://github.com/parcel-bundler/parcel,41600
evanw,esbuild,https://github.com/evanw/esbuild,33900
vlang,v,https://github.com/vlang/v,30900
markedjs,marked,https://github.com/markedjs/marked,28600
carbon-language,carbon-lang,https://github.com/carbon-language/carbon-lang,28600
swc-project,swc,https://github.com/swc-project/swc,24800
vercel,pkg,https://github.com/vercel/pkg,22300
v8,v8,https://github.com/v8/v8,20400
ziglang,zig,https://github.com/ziglang/zig,18500
AssemblyScript,assemblyscript,https://github.com/AssemblyScript/assemblyscript,14800
nim-lang,Nim,https://github.com/nim-lang/Nim,14000
Konloch,bytecode-viewer,https://github.com/Konloch/bytecode-viewer,13400
RustPython,RustPython,https://github.com/RustPython/RustPython,12500
