username,repo_name,repo_url,stars
localstack,localstack,https://github.com/localstack/localstack,44700
harness,drone,https://github.com/harness/drone,26000
jenkinsci,jenkins,https://github.com/jenkinsci/jenkins,19800
auchenberg,volkswagen,https://github.com/auchenberg/volkswagen,12500
theonedev,onedev,https://github.com/theonedev/onedev,10300
openshift,origin,https://github.com/openshift/origin,8200
dagger,dagger,https://github.com/dagger/dagger,6800
concourse,concourse,https://github.com/concourse/concourse,6600
gocd,gocd,https://github.com/gocd/gocd,6600
buildbot,buildbot,https://github.com/buildbot/buildbot,4900
gaia-pipeline,gaia,https://github.com/gaia-pipeline/gaia,4900
Strider-CD,strider,https://github.com/Strider-CD/strider,4600
jenkins-x,jx,https://github.com/jenkins-x/jx,4300
ovh,cds,https://github.com/ovh/cds,4000
xcpretty,xcpretty,https://github.com/xcpretty/xcpretty,3800
hygieia,hygieia,https://github.com/hygieia/hygieia,3700
iterative,cml,https://github.com/iterative/cml,3500
cake-build,cake,https://github.com/cake-build/cake,3400
werf,werf,https://github.com/werf/werf,3400
JamesIves,github-pages-deploy-action,https://github.com/JamesIves/github-pages-deploy-action,3300
